State,ZipCode,ConstituentCode,First gift type,First gift fund,FirstgiftBlock,AgeBlock,Gender,Marital status,activeDoner
TX,Other,Alumni ,,,0-0,0-0,Male,Married,0
MN,Other,Alumni ,,,0-0,51-60,Female,Married,0
MN,Other,Alumni ,One-time gift,Superior Fund,11-50,51-60,Male,Married,1
MN,Other,Alumni ,,,0-0,0-0,Unknown,,0
MN,Other,Alumni ,,,0-0,21-30,Unknown,,0
MN,55803,Alumni ,,,0-0,71-80,Female,Married,0
Other,Other,Friend ,,,0-0,0-0,Male,,0
VA,Other,Alumni ,,,0-0,0-0,Female,,0
CO,Other,Alumni ,,,0-0,0-0,Female,Married,0
,,Attended Didn't Graduate ,,,0-0,0-0,Unknown,,0
WI,Other,Friend ,One-time gift,Other,11-50,0-0,Female,Married,1
,,Alumni ,,,0-0,0-0,Male,Married,0
FL,Other,Alumni ,,,0-0,0-0,Male,Widowed,0
ND,Other,Alumni ,,,0-0,0-0,Male,,0
WI,54880,Alumni ,Soft credit one-time gift,Total gifts given prior to 7/1/86,0-0,0-0,Female,Widowed,0
MN,Other,Alumni ,One-time gift,Other,11-50,0-0,Male,Married,1
MN,Other,Alumni ,,,0-0,Over 80,Female,,0
,,Attended Didn't Graduate ,,,0-0,21-30,Female,,0
MN,Other,Former Parent ,,,0-0,0-0,Unknown,,0
,,Alumni ,,,0-0,0-0,Unknown,,0
,,Students ,,,0-0,21-30,Unknown,,0
MN,Other,Parent ,,,0-0,0-0,Unknown,Married,0
WI,54868,Alumni ,One-time gift,Total gifts given prior to 7/1/86,0-10,0-0,Male,Married,1
WI,Other,Alumni ,,,0-0,0-0,Female,Married,0
VA,Other,Alumni ,,,0-0,0-0,Male,,0
MI,Other,Alumni ,,,0-0,Over 80,Male,Married,0
MI,49938,Alumni ,,,0-0,0-0,Male,,0
WI,54806,Parent ,,,0-0,0-0,Male,Married,0
,,Attended Didn't Graduate ,,,0-0,21-30,Female,,0
,,Students ,,,0-0,0-20,Female,,0
,,Students ,,,0-0,21-30,Female,,0
,,Students ,,,0-0,21-30,Female,,0
WI,Other,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
WI,Other,Attended Didn't Graduate ,,,0-0,21-30,Unknown,,0
WI,Other,Parent ,,,0-0,0-0,Unknown,Married,0
IL,Other,Alumni ,,,0-0,51-60,Male,,0
Other,Other,Alumni ,,,0-0,41-50,Male,Single,0
WI,Other,Alumni ,,,0-0,41-50,Female,Single,0
WI,Other,Alumni ,,,0-0,51-60,Female,Married,0
WI,Other,Alumni ,,,0-0,21-30,Female,,0
WI,Other,Parent ,,,0-0,0-0,Unknown,Married,0
WI,Other,Parent ,One-time gift,Track and Cross Country Fund,101-500,0-0,Male,Married,1
WI,Other,Alumni ,,,0-0,0-0,Male,Married,0
WI,Other,Alumni ,,,0-0,31-40,Female,,0
WI,54847,Alumni ,,,0-0,31-40,Female,,0
WI,54880,Alumni ,One-time gift,Men's Baseball Fund,11-50,51-60,Male,,1
WI,54880,Alumni ,,,0-0,51-60,Male,Married,0
MN,55718,Alumni ,Pledge,Superior Fund,11-50,71-80,Male,Married,1
MD,Other,Alumni ,,,0-0,0-0,Female,Married,0
Other,Other,Alumni ,Soft credit one-time gift,Other,0-0,0-0,Male,Married,0
,,Friend ,,,0-0,0-0,Male,,0
NY,Other,Alumni ,Pledge,Student Calling Fund,11-50,0-0,Male,Married,1
MN,55803,Alumni ,,,0-0,61-70,Female,,0
MN,Other,Parent ,One-time gift,Men's Baseball Fund,51-100,0-0,Male,Married,1
MN,55803,Alumni ,,,0-0,41-50,Female,Single,0
,,Students ,,,0-0,0-20,Male,,0
MO,Other,Friend ,One-time gift,Men's Baseball Fund,11-50,0-0,Male,Married,1
CA,Other,Friend ,One-time gift,Athletics Fund-General,101-500,0-0,Male,Married,1
MN,55720,Alumni ,,,0-0,21-30,Female,,0
MN,55720,Attended Didn't Graduate ,,,0-0,21-30,Unknown,,0
MN,55720,Parent ,,,0-0,0-0,Unknown,Married,0
WI,Other,Alumni ,,,0-0,21-30,Female,,0
,,Students ,,,0-0,0-20,Female,,0
WI,Other,Alumni ,,,0-0,0-0,Male,Married,0
MN,55802,Business ,One-time gift,Other,0-0,0-0,,,0
CA,Other,Friend ,One-time gift,Women's Basketball Fund,11-50,0-0,Female,,1
,,Business ,One-time gift,0-Unassigned For Use In History,501-1000,0-0,,,1
MN,55802,Business ,,,0-0,0-0,,,0
MN,55803,Business ,,,0-0,0-0,,,0
MN,55802,Business ,,,0-0,0-0,,,0
,,Alumni ,,,0-0,0-0,Male,,0
,,Students ,,,0-0,21-30,Male,,0
WI,54022,Parent ,,,0-0,0-0,Unknown,,0
,,Alumni ,,,0-0,0-0,Unknown,,0
WI,54880,Friend ,Soft credit one-time gift,Other,11-50,0-0,Female,,1
,,Alumni ,,,0-0,0-0,Unknown,,0
IA,Other,Alumni ,One-time gift,Total gifts given prior to 7/1/86,11-50,0-0,Male,Married,1
,,Alumni ,One-time gift,Total gifts given prior to 7/1/86,0-10,0-0,Female,,1
MN,55746,Friend ,One-time gift,Men's Baseball Fund,11-50,0-0,Unknown,Married,1
WI,54880,Alumni ,,,0-0,21-30,Male,,0
WI,54843,Alumni ,,,0-0,61-70,Female,,0
,,Alumni ,,,0-0,0-0,Male,,0
,,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
TX,Other,Alumni ,,,0-0,61-70,Female,Married,0
IA,Other,Alumni ,,,0-0,61-70,Female,,0
WI,54880,Attended Didn't Graduate ,,,0-0,21-30,Male,,0
ND,Other,Alumni ,,,0-0,0-0,Female,Married,0
MN,Other,Alumni ,,,0-0,41-50,Male,Single,0
Other,Other,Alumni ,,,0-0,0-0,Female,Married,0
WI,54401,Alumni ,One-time gift,Other,11-50,51-60,Female,Married,1
Other,Other,Alumni ,,,0-0,0-0,Male,Married,0
MN,55804,Alumni ,,,0-0,31-40,Female,,0
MN,55720,Alumni ,Pledge,Superior Fund,0-10,61-70,Female,Married,1
Other,Other,Alumni ,,,0-0,41-50,Male,,0
MD,Other,Alumni ,One-time gift,Foundation Scholarship Fund,11-50,0-0,Male,Married,1
WI,54880,Alumni ,,,0-0,61-70,Female,Single,0
WI,Other,Alumni ,,,0-0,41-50,Female,Married,0
MN,Other,Alumni ,,,0-0,51-60,Female,Married,0
WI,Other,Friend ,,,0-0,0-0,Male,,0
FL,Other,Alumni ,,,0-0,31-40,Unknown,,0
WI,54880,Alumni ,,,0-0,21-30,Female,,0
MN,Other,Alumni ,,,0-0,0-0,Female,,0
FL,Other,Alumni ,,,0-0,51-60,Female,Married,0
WI,Other,Friend ,One-time gift,Men's Baseball Fund,51-100,0-0,Female,Married,1
WI,Other,Alumni ,One-time gift,Superior Fund,11-50,71-80,Male,Married,1
MN,55744,Alumni ,,,0-0,Over 80,Male,,0
WI,54873,Alumni ,,,0-0,31-40,Female,Single,0
WI,54880,Friend ,One-time gift,Other,0-10,0-0,Unknown,,1
MN,55803,Friend ,,,0-0,0-0,Female,Married,0
MI,Other,Attended Didn't Graduate ,,,0-0,0-0,Unknown,,0
WI,Other,Retired Faculty/Staff ,,,0-0,0-0,Male,Married,0
TX,,Attended Didn't Graduate ,,,0-0,0-0,Male,Married,0
WI,Other,Alumni ,,,0-0,0-0,Male,Married,0
,,Students ,,,0-0,21-30,Unknown,,0
WA,Other,Alumni ,,,0-0,0-0,Female,,0
FL,Other,Alumni ,One-time gift,Superior Fund,11-50,71-80,Male,Married,1
WI,Other,Alumni ,,,0-0,71-80,Male,Married,0
WI,Other,Alumni ,One-time gift,Alumni Association Membership Fund,0-10,0-0,Male,,1
MN,Other,Friend ,,,0-0,0-0,Male,Married,0
TX,Other,Alumni ,,,0-0,0-0,Male,Married,0
TX,Other,Friend ,,,0-0,0-0,Female,Married,0
WI,54880,Faculty/Staff ,,,0-0,0-0,Male,Married,0
MN,55792,Alumni ,,,0-0,71-80,Male,Married,0
,,Faculty/Staff ,,,0-0,0-0,Female,Unknown,0
MN,Other,Alumni ,,,0-0,0-0,Male,,0
MN,55110,Former Parent ,,,0-0,0-0,Female,,0
,,Attended Didn't Graduate ,,,0-0,31-40,Unknown,,0
MN,55803,Alumni ,Pledge,Other,11-50,51-60,Female,,1
CA,Other,Alumni ,,,0-0,31-40,Male,Single,0
,,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
MN,Other,Alumni ,,,0-0,21-30,Female,,0
MN,Other,Former Parent ,,,0-0,0-0,Unknown,Married,0
WI,54868,Former Faculty & Staff ,,,0-0,0-0,Female,Married,0
WI,54868,Alumni ,,,0-0,31-40,Female,Single,0
WI,54868,Former Faculty & Staff ,,,0-0,0-0,Male,Married,0
WI,54880,Alumni ,,,0-0,21-30,Male,,0
Other,Other,Alumni ,One-time gift,Superior Fund,11-50,0-0,Male,Married,1
WI,54703,Alumni ,,,0-0,0-0,Male,Married,0
WI,Other,Alumni ,One-time gift,Superior Fund,11-50,71-80,Male,Single,1
WI,Other,Alumni ,,,0-0,0-0,Male,,0
WI,Other,Alumni ,,,0-0,0-0,Female,,0
WI,54880,Alumni ,One-time gift,Alumni Association Membership Fund,0-10,61-70,Male,Married,1
MN,55803,Friend ,,,0-0,0-0,Male,Married,0
WI,54880,Friend ,One-time gift,"Gigliotti, Tony, Scholarship",11-50,0-0,Female,,1
WI,54880,Alumni ,,,0-0,41-50,Male,Single,0
WI,54843,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
MI,49938,Parent ,,,0-0,0-0,Male,Married,0
,,Attended Didn't Graduate ,,,0-0,21-30,Female,,0
,,Students ,,,0-0,21-30,Female,,0
MN,55811,Alumni ,,,0-0,0-0,Female,,0
WI,54880,Parent ,,,0-0,0-0,Male,Married,0
WI,54880,Parent ,,,0-0,0-0,Unknown,,0
WI,54880,Alumni ,One-time gift,Alumni Association Fund,101-500,31-40,Female,,1
WI,Other,Friend ,,,0-0,0-0,Female,,0
WI,54874,Alumni ,,,0-0,61-70,Female,Married,0
WI,54880,Friend ,Soft credit one-time gift,Other,11-50,0-0,Female,Widowed,1
WI,54874,Alumni ,,,0-0,61-70,Male,Married,0
WI,Other,Alumni ,,,0-0,21-30,Male,,0
WI,Other,Alumni ,,,0-0,31-40,Unknown,,0
MN,55812,Alumni ,,,0-0,51-60,Female,,0
MN,Other,Parent ,,,0-0,0-0,Unknown,,0
WI,Other,Alumni ,,,0-0,61-70,Male,Married,0
MN,55720,Parent ,,,0-0,0-0,Male,Married,0
MN,55718,Attended Didn't Graduate ,,,0-0,0-0,Unknown,,0
WI,54838,Alumni ,One-time gift,Other,11-50,0-0,Female,Married,1
MN,Other,Friend ,One-time gift,Other,11-50,0-0,Male,Married,1
FL,Other,Friend ,Soft credit one-time gift,Total gifts given prior to 7/1/86,51-100,0-0,Male,Widowed,1
MN,55807,Alumni ,,,0-0,31-40,Female,,0
NJ,Other,Alumni ,,,0-0,0-0,Female,,0
AZ,Other,Friend ,,,0-0,0-0,Unknown,,0
MN,55720,Alumni ,,,0-0,31-40,Female,,0
,,Attended Didn't Graduate ,,,0-0,21-30,Male,,0
,,Students ,,,0-0,0-0,Female,,0
AK,Other,Alumni ,,,0-0,71-80,Male,Married,0
,,Friend ,One-time gift,Other,11-50,0-0,Unknown,,1
WI,Other,Alumni ,,,0-0,0-0,Male,,0
MN,Other,Alumni ,,,0-0,51-60,Female,Married,0
MN,55811,Alumni ,,,0-0,0-0,Unknown,,0
,,Students ,,,0-0,21-30,Female,,0
WI,Other,Parent ,,,0-0,0-0,Male,Married,0
MN,Other,Parent ,,,0-0,0-0,Male,,0
,,Attended Didn't Graduate ,,,0-0,0-0,Unknown,,0
MN,55720,Alumni ,,,0-0,51-60,Male,,0
WI,Other,Parent ,,,0-0,0-0,Unknown,Married,0
MN,Other,Friend ,One-time gift,Men's Soccer Fund,51-100,0-0,Male,Married,1
MI,Other,Alumni ,,,0-0,0-0,Male,Married,0
,,Students ,,,0-0,21-30,Male,,0
TX,Other,Alumni ,,,0-0,0-0,Male,,0
,,Alumni ,,,0-0,0-0,Female,,0
MN,Other,Alumni ,One-time gift,Men's Soccer Fund,51-100,0-0,Male,,1
MN,55720,Alumni ,,,0-0,51-60,Male,,0
,,Attended Didn't Graduate ,,,0-0,41-50,Unknown,,0
MN,Other,Friend ,One-time gift,Men's Soccer Fund,11-50,0-0,Unknown,,1
MN,55811,Alumni ,,,0-0,61-70,Female,,0
WI,54880,Alumni ,,,0-0,51-60,Female,,0
WI,Other,Friend ,,,0-0,0-0,Male,,0
WI,Other,Alumni ,,,0-0,71-80,Female,Married,0
MI,Other,Business ,Matching gift pledge,Superior Fund,11-50,0-0,,,1
WI,Other,Alumni ,,,0-0,61-70,Female,Married,0
,,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
MN,55304,Parent ,One-time gift,Men's Baseball Fund,101-500,0-0,Male,Married,1
MN,Other,Alumni ,One-time gift,Total gifts given prior to 7/1/86,101-500,0-0,Female,,1
WI,Other,Alumni ,,,0-0,61-70,Male,Single,0
CO,Other,Alumni ,,,0-0,31-40,Female,,0
WI,Other,Alumni ,One-time gift,Student Calling Fund,11-50,0-0,Male,,1
MN,55733,Alumni ,,,0-0,71-80,Female,Married,0
MN,Other,Alumni ,,,0-0,0-0,Male,,0
WI,54880,Alumni ,,,0-0,0-0,Male,,0
MN,Other,Alumni ,Soft credit one-time gift,Other,51-100,0-0,Female,Married,1
,,Alumni ,,,0-0,0-0,Unknown,,0
WI,54880,Alumni ,,,0-0,21-30,Unknown,,0
MN,55806,Friend ,One-time gift,Men's Baseball Fund,11-50,0-0,Female,,1
WI,Other,Friend ,,,0-0,0-0,Female,,0
CA,Other,Alumni ,One-time gift,Foundation Scholarship Fund,11-50,61-70,Male,Married,1
AZ,Other,Alumni ,,,0-0,61-70,Female,,0
MN,Other,Friend ,One-time gift,Women's Softball Fund,11-50,0-0,Unknown,,1
WI,54864,Alumni ,,,0-0,51-60,Female,Married,0
WI,54864,Alumni ,,,0-0,31-40,Female,,0
WI,Other,Attended Didn't Graduate ,Soft credit one-time gift,Student Calling Fund,101-500,0-0,Female,Married,1
FL,Other,Alumni ,,,0-0,0-0,Female,Married,0
MN,Other,Friend ,One-time gift,Other,11-50,0-0,Female,Married,1
MN,Other,Alumni ,,,0-0,41-50,Female,Married,0
WI,Other,Alumni ,One-time gift,Total gifts given prior to 7/1/86,51-100,0-0,Male,Married,1
WI,54880,Friend ,,,0-0,0-0,Female,,0
,,Students ,,,0-0,0-20,Male,,0
FL,Other,Alumni ,,,0-0,0-0,Male,Married,0
WI,54729,Alumni ,,,0-0,0-0,Male,,0
MN,Other,Friend ,One-time gift,Men's Baseball Fund,11-50,0-0,Female,Married,1
WI,Other,Alumni ,,,0-0,0-0,Male,,0
MN,Other,Alumni ,One-time gift,Superior Fund,11-50,51-60,Female,Married,1
WI,Other,Alumni ,,,0-0,51-60,Female,Married,0
WI,Other,Alumni ,,,0-0,0-0,Female,,0
TX,Other,Alumni ,,,0-0,0-0,Male,,0
WI,54703,Alumni ,,,0-0,0-0,Female,,0
,,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
WI,54880,Alumni ,,,0-0,31-40,Female,Married,0
,,Students ,,,0-0,41-50,Unknown,,0
MN,55792,Alumni ,,,0-0,31-40,Female,Single,0
MN,55792,Alumni ,,,0-0,31-40,Female,Single,0
MN,55720,Alumni ,,,0-0,21-30,Female,,0
MN,55720,Alumni ,,,0-0,0-0,Female,,0
,,Students ,,,0-0,21-30,Female,,0
MN,55720,Parent ,,,0-0,0-0,Male,Married,0
MN,55720,Parent ,,,0-0,0-0,Female,Married,0
PA,Other,Alumni ,,,0-0,51-60,Female,Single,0
WI,54501,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
MN,55812,Former Faculty & Staff ,,,0-0,0-0,Male,,0
MN,Other,Alumni ,,,0-0,41-50,Female,Married,0
WI,Other,Alumni ,,,0-0,51-60,Female,Married,0
CA,Other,Former Parent ,,,0-0,0-0,Unknown,,0
MN,Other,Alumni ,,,0-0,21-30,Unknown,,0
MI,Other,Friend ,One-time gift,Track and Cross Country Fund,11-50,0-0,Unknown,Married,1
MN,55808,Alumni ,,,0-0,31-40,Male,Single,0
,,Alumni ,,,0-0,0-0,Unknown,,0
WI,54701,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
WI,Other,Alumni ,,,0-0,41-50,Male,,0
,,Students ,,,0-0,21-30,Unknown,,0
WI,Other,Alumni ,,,0-0,0-0,Female,,0
WI,Other,Alumni ,,,0-0,71-80,Female,,0
WI,54806,Alumni ,,,0-0,51-60,Male,Married,0
MN,55803,Faculty/Staff ,One-time gift,Other,51-100,0-0,Male,,1
WI,Other,Former Parent ,,,0-0,0-0,Female,Married,0
WI,Other,Alumni ,,,0-0,0-0,Female,Married,0
WI,Other,Alumni ,,,0-0,51-60,Male,,0
MN,55792,Friend ,,,0-0,0-0,Male,,0
WI,54880,Alumni ,Pledge,Superior Fund,0-10,61-70,Female,,1
WI,54893,Parent ,,,0-0,0-0,Female,,0
MN,55803,Business ,,,0-0,0-0,,,0
,,Students ,,,0-0,0-0,Female,,0
MN,55806,Parent ,,,0-0,0-0,Unknown,,0
FL,Other,Parent ,,,0-0,0-0,Male,,0
MI,Other,Alumni ,One-time gift,Other,11-50,0-0,Male,Married,1
WI,Other,Parent ,,,0-0,0-0,Female,,0
WI,Other,Alumni ,,,0-0,31-40,Female,,0
,,Students ,,,0-0,21-30,Unknown,,0
,,Attended Didn't Graduate ,,,0-0,21-30,Female,,0
MN,Other,Alumni ,,,0-0,51-60,Female,Married,0
WI,54891,Alumni ,,,0-0,61-70,Female,,0
MN,Other,Alumni ,,,0-0,41-50,Female,,0
OH,Other,Alumni ,,,0-0,41-50,Female,Single,0
AZ,Other,Alumni ,,,0-0,0-0,Female,Married,0
WI,Other,Alumni ,One-time gift,Men's Basketball Fund,11-50,0-0,Male,,1
,,Students ,,,0-0,31-40,Female,,0
,,Alumni ,One-time gift,Women's Athletics Fund,11-50,0-0,Female,,1
,,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
WI,Other,Alumni ,,,0-0,41-50,Female,Married,0
MN,55802,Alumni ,One-time gift,Foundation Scholarship Fund,101-500,0-0,Male,,1
WI,Other,Attended Didn't Graduate ,,,0-0,Over 80,Female,,0
WI,Other,Alumni ,One-time gift,Women's Basketball Fund,101-500,21-30,Female,,1
MN,55807,Alumni ,,,0-0,61-70,Unknown,,0
WI,54880,Friend ,One-time gift,Superior Fund,11-50,0-0,Female,Married,1
WI,Other,Attended Didn't Graduate ,,,0-0,0-0,Male,Married,0
,,Alumni ,,,0-0,0-0,Male,,0
IL,Other,Friend ,One-time gift,Women's Softball Fund,11-50,0-0,Male,Married,1
MN,Other,Alumni ,,,0-0,61-70,Female,Married,0
WI,Other,Parent ,,,0-0,0-0,Unknown,Married,0
MN,55804,Former Parent ,,,0-0,0-0,Female,,0
WI,Other,Friend ,One-time gift,Women's Basketball Fund,101-500,0-0,Unknown,,1
,,Students ,,,0-0,0-20,Female,,0
IL,Other,Alumni ,,,0-0,0-0,Male,,0
AZ,Other,Attended Didn't Graduate ,Pledge,Superior Fund,0-10,0-0,Male,,1
WI,54874,Friend ,,,0-0,0-0,Male,,0
MN,55082,Alumni ,,,0-0,31-40,Female,,0
MN,Other,Alumni ,,,0-0,21-30,Male,,0
MN,55811,Alumni ,,,0-0,51-60,Male,,0
,,Alumni ,,,0-0,0-0,Unknown,,0
MN,55082,Parent ,,,0-0,0-0,Male,Married,0
MN,55082,Parent ,,,0-0,0-0,Female,Married,0
MN,Other,Parent ,One-time gift,Men's Hockey Fund,11-50,0-0,Unknown,Married,1
MN,Other,Business ,One-time gift,Men's Hockey Fund,101-500,0-0,,,1
WI,54847,Alumni ,,,0-0,0-0,Male,,0
WI,Other,Alumni ,,,0-0,0-0,Female,,0
WI,Other,Former Parent ,,,0-0,0-0,Female,,0
,,Students ,,,0-0,21-30,Female,,0
MN,55807,Former Parent ,,,0-0,0-0,Male,Married,0
MN,Other,Parent ,,,0-0,0-0,Unknown,,0
Other,Other,Alumni ,,,0-0,51-60,Female,Single,0
MN,55807,Alumni ,,,0-0,0-0,Female,,0
MN,55812,Friend ,,,0-0,0-0,Male,,0
WI,54703,Alumni ,,,0-0,21-30,Female,,0
MN,Other,Alumni ,,,0-0,0-0,Male,,0
MN,Other,Alumni ,,,0-0,0-0,Female,,0
WI,Other,Alumni ,,,0-0,71-80,Male,Married,0
MN,Other,Parent ,One-time gift,Women's Softball Fund,51-100,0-0,Male,Married,1
WI,Other,Alumni ,,,0-0,41-50,Female,,0
,,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
WI,54880,Business ,One-time gift,Other,101-500,0-0,,,1
,,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
WI,54880,Friend ,One-time gift,"Banker, Erika M., Scholarship",0-10,0-0,Female,,1
WI,54849,Parent ,,,0-0,0-0,Male,Married,0
,,Students ,,,0-0,21-30,Male,,0
VA,Other,Friend ,,,0-0,0-0,Male,Married,0
IL,Other,Former Parent ,,,0-0,0-0,Female,Married,0
IL,Other,Alumni ,,,0-0,0-0,Female,,0
IL,Other,Former Parent ,,,0-0,0-0,Male,Married,0
,,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
WI,Other,Alumni ,,,0-0,0-0,Male,,0
,,Students ,,,0-0,21-30,Male,,0
MN,55810,Alumni ,,,0-0,21-30,Female,,0
MN,55810,Parent ,,,0-0,0-0,Male,Married,0
MN,Other,Alumni ,One-time gift,Foundation Scholarship Fund,0-10,51-60,Female,Married,1
MN,55810,Alumni ,One-time gift,Alumni Association Registration Fees Fund,51-100,21-30,Unknown,,1
MN,55807,Alumni ,,,0-0,41-50,Female,Single,0
MN,Other,Parent ,,,0-0,0-0,Male,Married,0
WI,54022,Parent ,,,0-0,0-0,Male,Married,0
,,Students ,,,0-0,21-30,Male,,0
WI,54701,Alumni ,,,0-0,Over 80,Female,Married,0
MN,55811,Alumni ,,,0-0,31-40,Unknown,,0
MN,Other,Friend ,One-time gift,Men's Baseball Fund,11-50,0-0,Unknown,Married,1
,,Students ,,,0-0,0-0,Female,,0
MN,Other,Friend ,One-time gift,Men's Baseball Fund,11-50,0-0,Unknown,,1
TX,Other,Friend ,One-time gift,Men's Baseball Fund,11-50,0-0,Unknown,Married,1
Other,Other,Alumni ,,,0-0,71-80,Male,,0
WI,54801,Alumni ,,,0-0,61-70,Male,Married,0
WI,Other,Alumni ,,,0-0,51-60,Male,,0
WI,Other,Friend ,,,0-0,0-0,Female,,0
WI,Other,Parent ,,,0-0,0-0,Female,Married,0
,,Students ,,,0-0,21-30,Male,,0
Other,Other,Alumni ,,,0-0,0-0,Male,,0
MN,55746,Alumni ,Pledge,Superior Fund,51-100,41-50,Female,Married,1
MN,55804,Alumni ,,,0-0,51-60,Male,,0
WI,54880,Alumni ,,,0-0,21-30,Female,,0
WI,54880,Parent ,,,0-0,0-0,Male,,0
,,Alumni ,,,0-0,0-0,Male,,0
WI,Other,Attended Didn't Graduate ,,,0-0,71-80,Female,,0
WI,54880,Attended Didn't Graduate ,,,0-0,0-0,Female,Married,0
WI,Other,Friend ,One-time gift,Men's Baseball Fund,11-50,0-0,Unknown,,1
Other,Other,Alumni ,,,0-0,41-50,Male,Single,0
MN,Other,Alumni ,,,0-0,51-60,Female,,0
MN,Other,Alumni ,,,0-0,41-50,Female,,0
MN,55810,Business ,One-time gift,Other,101-500,0-0,,,1
AZ,Other,Friend ,One-time gift,Superior Fund,11-50,0-0,Female,Married,1
,,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
MN,Other,Former Parent ,,,0-0,0-0,Male,,0
MN,Other,Former Parent ,,,0-0,0-0,Female,,0
AZ,Other,Former Parent ,,,0-0,0-0,Male,,0
,,Alumni ,,,0-0,0-0,Unknown,,0
OH,Other,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
,,Attended Didn't Graduate ,,,0-0,21-30,Unknown,,0
MN,Other,Parent ,,,0-0,0-0,Unknown,Married,0
,,Alumni ,,,0-0,0-0,Unknown,,0
MN,55803,Alumni ,,,0-0,51-60,Female,Married,0
WI,Other,Alumni ,,,0-0,31-40,Female,Single,0
WI,54880,Friend ,One-time gift,Men's Hockey Fund,51-100,0-0,Male,Single,1
MN,Other,Former Parent ,,,0-0,0-0,Female,,0
MN,Other,Alumni ,,,0-0,31-40,Female,Single,0
WI,54880,Alumni ,,,0-0,51-60,Female,,0
NC,Other,Alumni ,One-time gift,Foundation Scholarship Fund,101-500,0-0,Male,Unknown,1
IL,Other,Alumni ,,,0-0,31-40,Male,,0
WI,54820,Friend ,One-time gift,Other,11-50,0-0,Male,Married,1
WI,54820,Alumni ,Soft credit one-time gift,Other,11-50,0-0,Female,Married,1
MI,Other,Friend ,One-time gift,Men's Hockey Fund,51-100,0-0,Male,Married,1
WI,Other,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
WI,Other,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
WI,54868,Alumni ,,,0-0,41-50,Female,Married,0
WI,54820,Alumni ,,,0-0,0-0,Female,,0
MN,55616,Alumni ,,,0-0,0-0,Male,,0
TX,Other,Friend ,Soft credit one-time gift,Total gifts given prior to 7/1/86,0-0,0-0,Unknown,Widowed,0
MN,Other,Friend ,One-time gift,Other,51-100,0-0,Male,Married,1
FL,Other,Alumni ,One-time gift,Alumni Association Membership Fund,0-10,71-80,Female,Married,1
WI,Other,Alumni ,,,0-0,0-0,Female,,0
WI,54016,Alumni ,Pledge,Superior Fund,11-50,0-0,Male,Married,1
TX,Other,Business ,One-time gift,Other,101-500,0-0,,,1
,,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
MN,Other,Alumni ,,,0-0,0-0,Male,Married,0
MN,Other,Alumni ,,,0-0,71-80,Female,Married,0
,,Attended Didn't Graduate ,,,0-0,0-0,Unknown,,0
MN,55810,Business ,,,0-0,0-0,,,0
IN,Other,Alumni ,,,0-0,0-0,Female,Married,0
MN,Other,Alumni ,,,0-0,31-40,Unknown,,0
WI,Other,Alumni ,,,0-0,41-50,Unknown,,0
WI,54891,Alumni ,,,0-0,41-50,Female,,0
,,Students ,,,0-0,0-0,Male,,0
,,Students ,,,0-0,0-20,Female,,0
WI,54880,Alumni ,Pledge,Superior Fund,51-100,41-50,Male,Single,1
WI,Other,Parent ,,,0-0,0-0,Male,Married,0
WI,54874,Alumni ,,,0-0,41-50,Female,Married,0
WI,54880,Alumni ,Pledge,Superior Fund,11-50,41-50,Male,Married,1
WI,Other,Alumni ,,,0-0,51-60,Male,,0
,,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
IL,Other,Friend ,,,0-0,0-0,Female,,0
,,Faculty/Staff ,,,0-0,0-0,Unknown,,0
Other,Other,Alumni ,,,0-0,0-0,Male,Single,0
WI,54880,Alumni ,,,0-0,41-50,Female,Single,0
MN,55807,Former Parent ,,,0-0,0-0,Male,Married,0
MN,55807,Alumni ,,,0-0,0-0,Female,,0
MN,Other,Friend ,,,0-0,0-0,Male,,0
MN,Other,Attended Didn't Graduate ,One-time gift,Total gifts given prior to 7/1/86,101-500,0-0,Male,Married,1
CO,Other,Alumni ,One-time gift,Total gifts given prior to 7/1/86,101-500,71-80,Male,Married,1
,,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
MN,Other,Former Parent ,,,0-0,0-0,Female,,0
MN,55811,Alumni ,,,0-0,21-30,Female,,0
MN,Other,Alumni ,,,0-0,31-40,Male,Single,0
MN,55744,Alumni ,One-time gift,Women's Athletics Fund,11-50,0-0,Female,Married,1
WI,54801,Alumni ,,,0-0,51-60,Male,Married,0
WI,54880,Retired Faculty/Staff ,One-time gift,Women's Athletics Fund,11-50,0-0,Male,Widowed,1
